Nº Distrito;DISTRITO;m2 de ZONAS VERDES Y PARQUES en distrito;ha de ZONAS VERDES Y PARQUES en distrito 
1;CENTRO;314.769,26;31,48
2;ARGANZUELA;907.120,00;90,71
3;RETIRO;376.361,47;37,64
4;SALAMANCA;357.930,25;35,79
5;CHAMARTIN;564.117,25;56,41
6;TETUAN;636.986,99;63,70
7;CHAMBERI;98.964,58;9,90
8;FUENCARRAL - EL PARDO;3.681.910,80;368,19
9;MONCLOA - ARAVACA;1.874.662,40;187,47
10;LATINA;2.769.509,80;276,95
11;CARABANCHEL;2.297.580,00;229,76
12;USERA;1.678.460,00;167,85
13;PUENTE DE VALLECAS;2.795.790,00;279,58
14;MORATALAZ;1.178.110,00;117,81
15;CIUDAD LINEAL;1.336.681,77;133,67
16;HORTALEZA;3.235.899,30;323,59
17;VILLAVERDE;2.161.050,00;216,11
18;VILLA DE VALLECAS;3.092.940,00;309,29
19;VICALVARO;1.955.250,00;195,53
20;SAN BLAS - CANILLEJAS;1.750.213,30;175,02
21;BARAJAS;1.016.820,31;101,68
;;;
;;;
