YEAR;DISTRITO;SUPERFICIE (ha)
2019;ARGANZUELA;44.84
2019;BARAJAS;7.42
2019;CARABANCHEL;26.06
2019;CENTRO;11.8
2019;CHAMARTÍN;12.19
2019;CHAMBERÍ;4.85
2019;CIUDAD LINEAL;33.1
2019;FUENCARRAL-EL PARDO;39.94
2019;HORTALEZA;42.3
2019;LATINA;79.04
2019;MONCLOA-ARAVACA;13.26
2019;MORATALAZ;6.42
2019;PUENTE DE VALLECAS;72.31
2019;RETIRO;13.92
2019;SALAMANCA;12.65
2019;SAN BLAS-CANILLEJAS;29.41
2019;TETUÁN;37.65
2019;USERA;63.99
2019;VICÁLVARO;72.55
2019;VILLA DE VALLECAS;6.16
2019;VILLAVERDE;16.35
2020;ARGANZUELA;44.92
2020;BARAJAS;6.49
2020;CARABANCHEL;25.12
2020;CENTRO;11.8
2020;CHAMARTÍN;12.16
2020;CHAMBERÍ;4.84
2020;CIUDAD LINEAL;32.78
2020;FUENCARRAL-EL PARDO;39.88
2020;HORTALEZA;42.1
2020;LATINA;79.06
2020;MONCLOA-ARAVACA;13.26
2020;MORATALAZ;6.42
2020;PUENTE DE VALLECAS;72.29
2020;RETIRO;13.91
2020;SALAMANCA;12.65
2020;SAN BLAS-CANILLEJAS;28.7
2020;TETUÁN;35.38
2020;USERA;64.05
2020;VICÁLVARO;72.28
2020;VILLA DE VALLECAS;6.16
2020;VILLAVERDE;16.32
2021;ARGANZUELA;63.74
2021;BARAJAS;82.55
2021;CARABANCHEL;195.29
2021;CENTRO;21.02
2021;CHAMARTÍN;28.76
2021;CHAMBERÍ;7.19
2021;CIUDAD LINEAL;98.96
2021;FUENCARRAL-EL PARDO;271.51
2021;HORTALEZA;263.95
2021;LATINA;233.57
2021;MONCLOA-ARAVACA;152.23
2021;MORATALAZ;94.87
2021;PUENTE DE VALLECAS;225.51
2021;RETIRO;24.71
2021;SALAMANCA;26.14
2021;SAN BLAS-CANILLEJAS;114.77
2021;TETUÁN;53.71
2021;USERA;140.06
2021;VICÁLVARO;152.17
2021;VILLA DE VALLECAS;249.92
2021;VILLAVERDE;171.49
2022;ARGANZUELA;90.82
2022;BARAJAS;93.35
2022;CARABANCHEL;229.46
2022;CENTRO;31.76
2022;CHAMARTÍN;55.98
2022;CHAMBERÍ;11.12
2022;CIUDAD LINEAL;132.91
2022;FUENCARRAL-EL PARDO;360.35
2022;HORTALEZA;325.38
2022;LATINA;274.79
2022;MONCLOA-ARAVACA;188.39
2022;MORATALAZ;117.79
2022;PUENTE DE VALLECAS;279.58
2022;RETIRO;36.54
2022;SALAMANCA;35.87
2022;SAN BLAS-CANILLEJAS;178.35
2022;TETUÁN;62.51
2022;USERA;167.45
2022;VICÁLVARO;195.64
2022;VILLA DE VALLECAS;308.09
2022;VILLAVERDE;216.23
2023;ARGANZUELA;90.71
2023;BARAJAS;101.68
2023;CARABANCHEL;229.76
2023;CENTRO;31.48
2023;CHAMARTÍN;56.41
2023;CHAMBERÍ;9.9
2023;CIUDAD LINEAL;133.67
2023;FUENCARRAL-EL PARDO;368.19
2023;HORTALEZA;323.59
2023;LATINA;276.95
2023;MONCLOA-ARAVACA;187.47
2023;MORATALAZ;117.81
2023;PUENTE DE VALLECAS;279.58
2023;RETIRO;37.64
2023;SALAMANCA;35.79
2023;SAN BLAS-CANILLEJAS;175.02
2023;TETUÁN;63.7
2023;USERA;167.85
2023;VICÁLVARO;195.53
2023;VILLA DE VALLECAS;309.29
2023;VILLAVERDE;216.11
