YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2019;1;Centro;Renta;Neta anual;32458.0
2020;1;Centro;Renta;Neta anual;33473.0
2021;1;Centro;Renta;Neta anual;33473.0
2022;1;Centro;Renta;Neta anual;36072.0
2023;1;Centro;Renta;Neta anual;36984.0
2019;2;Arganzuela;Renta;Neta anual;41122.0
2020;2;Arganzuela;Renta;Neta anual;42088.0
2021;2;Arganzuela;Renta;Neta anual;42088.0
2022;2;Arganzuela;Renta;Neta anual;43789.0
2023;2;Arganzuela;Renta;Neta anual;45310.0
2019;3;Retiro;Renta;Neta anual;52963.0
2020;3;Retiro;Renta;Neta anual;53111.0
2021;3;Retiro;Renta;Neta anual;53111.0
2022;3;Retiro;Renta;Neta anual;55775.0
2023;3;Retiro;Renta;Neta anual;56302.0
2019;4;Salamanca;Renta;Neta anual;57147.0
2020;4;Salamanca;Renta;Neta anual;57720.0
2021;4;Salamanca;Renta;Neta anual;57720.0
2022;4;Salamanca;Renta;Neta anual;61466.0
2023;4;Salamanca;Renta;Neta anual;60401.0
2019;5;Chamartín;Renta;Neta anual;65260.0
2020;5;Chamartín;Renta;Neta anual;65995.0
2021;5;Chamartín;Renta;Neta anual;65995.0
2022;5;Chamartín;Renta;Neta anual;70735.0
2023;5;Chamartín;Renta;Neta anual;69202.0
2019;6;Tetuán;Renta;Neta anual;35609.0
2020;6;Tetuán;Renta;Neta anual;36142.0
2021;6;Tetuán;Renta;Neta anual;36142.0
2022;6;Tetuán;Renta;Neta anual;37557.0
2023;6;Tetuán;Renta;Neta anual;38799.0
2019;7;Chamberí;Renta;Neta anual;50882.0
2020;7;Chamberí;Renta;Neta anual;51644.0
2021;7;Chamberí;Renta;Neta anual;51644.0
2022;7;Chamberí;Renta;Neta anual;54327.0
2023;7;Chamberí;Renta;Neta anual;55757.0
2019;8;Fuencarral-El Pardo;Renta;Neta anual;50087.0
2020;8;Fuencarral-El Pardo;Renta;Neta anual;50379.0
2021;8;Fuencarral-El Pardo;Renta;Neta anual;50379.0
2022;8;Fuencarral-El Pardo;Renta;Neta anual;52858.0
2023;8;Fuencarral-El Pardo;Renta;Neta anual;54292.0
2019;9;Moncloa-Aravaca;Renta;Neta anual;57423.0
2020;9;Moncloa-Aravaca;Renta;Neta anual;58965.0
2021;9;Moncloa-Aravaca;Renta;Neta anual;58965.0
2022;9;Moncloa-Aravaca;Renta;Neta anual;64066.0
2023;9;Moncloa-Aravaca;Renta;Neta anual;62202.0
2019;10;Latina;Renta;Neta anual;30490.0
2020;10;Latina;Renta;Neta anual;30847.0
2021;10;Latina;Renta;Neta anual;30847.0
2022;10;Latina;Renta;Neta anual;31872.0
2023;10; Latina;Renta;Neta anual;32957.0
2019;11;Carabanchel;Renta;Neta anual;28301.0
2020;11;Carabanchel;Renta;Neta anual;28721.0
2021;11;Carabanchel;Renta;Neta anual;28721.0
2022;11;Carabanchel;Renta;Neta anual;29842.0
2023;11; Carabanchel;Renta;Neta anual;30890.0
2019;12;Usera;Renta;Neta anual;25954.0
2020;12;Usera;Renta;Neta anual;26501.0
2021;12;Usera;Renta;Neta anual;26501.0
2022;12;Usera;Renta;Neta anual;27674.0
2023;12; Usera;Renta;Neta anual;28770.0
2019;13;Puente de Vallecas;Renta;Neta anual;25029.0
2020;13;Puente de Vallecas;Renta;Neta anual;25527.0
2021;13;Puente de Vallecas;Renta;Neta anual;25527.0
2022;13;Puente de Vallecas;Renta;Neta anual;26652.0
2023;13; Puente de Vallecas;Renta;Neta anual;27714.0
2019;14;Moratalaz;Renta;Neta anual;35059.0
2020;14;Moratalaz;Renta;Neta anual;35514.0
2021;14;Moratalaz;Renta;Neta anual;35514.0
2022;14;Moratalaz;Renta;Neta anual;36755.0
2023;14; Moratalaz;Renta;Neta anual;37890.0
2019;15;Ciudad Lineal;Renta;Neta anual;37421.0
2020;15;Ciudad Lineal;Renta;Neta anual;37621.0
2021;15;Ciudad Lineal;Renta;Neta anual;37621.0
2022;15;Ciudad Lineal;Renta;Neta anual;39425.0
2023;15; Ciudad Lineal;Renta;Neta anual;40532.0
2019;16;Hortaleza;Renta;Neta anual;48688.0
2020;16;Hortaleza;Renta;Neta anual;49695.0
2021;16;Hortaleza;Renta;Neta anual;49695.0
2022;16;Hortaleza;Renta;Neta anual;52944.0
2023;16; Hortaleza;Renta;Neta anual;52880.0
2019;17;Villaverde;Renta;Neta anual;26915.0
2020;17;Villaverde;Renta;Neta anual;27392.0
2021;17;Villaverde;Renta;Neta anual;27392.0
2022;17;Villaverde;Renta;Neta anual;28407.0
2023;17; Villaverde;Renta;Neta anual;29640.0
2019;18;Villa de Vallecas;Renta;Neta anual;30861.0
2020;18;Villa de Vallecas;Renta;Neta anual;31447.0
2021;18;Villa de Vallecas;Renta;Neta anual;31447.0
2022;18;Villa de Vallecas;Renta;Neta anual;32765.0
2023;18; Villa de Vallecas;Renta;Neta anual;34190.0
2019;19;Vicálvaro;Renta;Neta anual;32152.0
2020;19;Vicálvaro;Renta;Neta anual;32713.0
2021;19;Vicálvaro;Renta;Neta anual;32713.0
2022;19;Vicálvaro;Renta;Neta anual;33870.0
