YEAR;cod_distrito;distrito;indicador_nivel2;porcentaje
2019;1;Centro;Más Madrid;32.79
2019;1;Centro;PP;11.51
2019;1;Centro;Ciudadanos;8.95
2019;1;Centro;PSOE;6.14
2019;1;Centro;VOX;3.67
2019;1;Centro;Podemos;0.0
2023;1;Centro;Ciudadanos;1.87
2023;1;Centro;Más Madrid;21.18
2023;1;Centro;PP;21.36
2023;1;Centro;PSOE;9.44
2023;1;Centro;Podemos;5.73
2023;1;Centro;VOX;4.26
2019;2;Arganzuela;Más Madrid;28.96
2019;2;Arganzuela;PP;15.59
2019;2;Arganzuela;Ciudadanos;13.86
2019;2;Arganzuela;PSOE;7.83
2019;2;Arganzuela;VOX;4.77
2019;2;Arganzuela;Podemos;0.0
2023;2;Arganzuela;Ciudadanos;2.54
2023;2;Arganzuela;Más Madrid;19.05
2023;2;Arganzuela;PP;29.38
2023;2;Arganzuela;PSOE;11.39
2023;2;Arganzuela;Podemos;4.86
2023;2;Arganzuela;VOX;5.33
2019;3;Retiro;Más Madrid;21.38
2019;3;Retiro;PP;23.7
2019;3;Retiro;Ciudadanos;16.01
2019;3;Retiro;PSOE;6.46
2019;3;Retiro;VOX;6.45
2019;3;Retiro;Podemos;0.0
2023;3;Retiro;Ciudadanos;2.63
2023;3;Retiro;Más Madrid;12.68
2023;3;Retiro;PP;39.78
2023;3;Retiro;PSOE;9.5
2023;3;Retiro;Podemos;2.75
2023;3;Retiro;VOX;7.3
2019;4;Salamanca;Más Madrid;14.82
2019;4;Salamanca;PP;27.82
2019;4;Salamanca;Ciudadanos;15.6
2019;4;Salamanca;PSOE;5.36
2019;4;Salamanca;VOX;7.65
2019;4;Salamanca;Podemos;0.0
2023;4;Salamanca;Ciudadanos;2.35
2023;4;Salamanca;Más Madrid;8.17
2023;4;Salamanca;PP;44.78
2023;4;Salamanca;PSOE;7.21
2023;4;Salamanca;Podemos;1.7
2023;4;Salamanca;VOX;8.28
2019;5;Chamartín;Más Madrid;14.86
2019;5;Chamartín;PP;29.07
2019;5;Chamartín;Ciudadanos;17.03
2019;5;Chamartín;PSOE;5.24
2019;5;Chamartín;VOX;7.26
2019;5;Chamartín;Podemos;0.0
2023;5;Chamartín;Ciudadanos;2.41
2023;5;Chamartín;Más Madrid;8.22
2023;5;Chamartín;PP;47.51
2023;5;Chamartín;PSOE;7.04
2023;5;Chamartín;Podemos;1.72
2023;5;Chamartín;VOX;8.08
2019;6;Tetuán;Más Madrid;18.87
2019;6;Tetuán;PP;16.92
2019;6;Tetuán;Ciudadanos;12.19
2019;6;Tetuán;PSOE;8.45
2019;6;Tetuán;Podemos;0.0
2019;6;Tetuán;VOX;5.56
2023;6;Tetuán;Ciudadanos;1.84
2023;6;Tetuán;Más Madrid;11.9
2023;6;Tetuán;PP;30.36
2023;6;Tetuán;PSOE;10.36
2023;6;Tetuán;Podemos;2.93
2023;6;Tetuán;VOX;6.32
2019;7;Chamberí;Más Madrid;19.52
2019;7;Chamberí;PP;25.36
2019;7;Chamberí;Ciudadanos;14.99
2019;7;Chamberí;PSOE;5.62
2019;7;Chamberí;Podemos;0.0
2019;7;Chamberí;VOX;6.5
2023;7;Chamberí;Ciudadanos;2.4
2023;7;Chamberí;Más Madrid;11.09
2023;7;Chamberí;PP;40.93
2023;7;Chamberí;PSOE;8.4
