YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2019;1;Centro;Número de Habitantes;TOTAL;134881.0
2019;1;Centro;Número de Habitantes;Hombres;67829.0
2019;1;Centro;Número de Habitantes;Mujeres;67052.0
2020;1;Centro;Número de Habitantes;TOTAL;142033.0
2020;1;Centro;Número de Habitantes;Hombres;72294.0
2020;1;Centro;Número de Habitantes;Mujeres;69739.0
2021;1;Centro;Número de Habitantes;TOTAL;142033.0
2021;1;Centro;Número de Habitantes;Hombres;72294.0
2021;1;Centro;Número de Habitantes;Mujeres;69739.0
2022;1;Centro;Número de Habitantes;TOTAL;139682.0
2022;1;Centro;Número de Habitantes;Hombres;70986.0
2022;1;Centro;Número de Habitantes;Mujeres;68696.0
2023;1;Centro;Número de Habitantes;TOTAL;139687.0
2023;1;Centro;Número de Habitantes;Hombres;70770.0
2023;1;Centro;Número de Habitantes;Mujeres;68917.0
2019;2;Arganzuela;Número de Habitantes;TOTAL;153830.0
2019;2;Arganzuela;Número de Habitantes;Hombres;71631.0
2019;2;Arganzuela;Número de Habitantes;Mujeres;82199.0
2020;2;Arganzuela;Número de Habitantes;TOTAL;154992.0
2020;2;Arganzuela;Número de Habitantes;Hombres;72355.0
2020;2;Arganzuela;Número de Habitantes;Mujeres;82637.0
2021;2;Arganzuela;Número de Habitantes;TOTAL;154992.0
2021;2;Arganzuela;Número de Habitantes;Hombres;72355.0
2021;2;Arganzuela;Número de Habitantes;Mujeres;82637.0
2022;2;Arganzuela;Número de Habitantes;TOTAL;152638.0
2022;2;Arganzuela;Número de Habitantes;Hombres;71466.0
2022;2;Arganzuela;Número de Habitantes;Mujeres;81172.0
2023;2;Arganzuela;Número de Habitantes;TOTAL;153304.0
2023;2;Arganzuela;Número de Habitantes;Hombres;71754.0
2023;2;Arganzuela;Número de Habitantes;Mujeres;81550.0
2019;3;Retiro;Número de Habitantes;TOTAL;119379.0
2019;3;Retiro;Número de Habitantes;Hombres;54098.0
2019;3;Retiro;Número de Habitantes;Mujeres;65281.0
2020;3;Retiro;Número de Habitantes;TOTAL;119092.0
2020;3;Retiro;Número de Habitantes;Hombres;54060.0
2020;3;Retiro;Número de Habitantes;Mujeres;65032.0
2021;3;Retiro;Número de Habitantes;TOTAL;119092.0
2021;3;Retiro;Número de Habitantes;Hombres;54060.0
2021;3;Retiro;Número de Habitantes;Mujeres;65032.0
2022;3;Retiro;Número de Habitantes;TOTAL;117672.0
2022;3;Retiro;Número de Habitantes;Hombres;53445.0
2022;3;Retiro;Número de Habitantes;Mujeres;64227.0
2023;3;Retiro;Número de Habitantes;TOTAL;117918.0
2023;3;Retiro;Número de Habitantes;Hombres;53458.0
2023;3;Retiro;Número de Habitantes;Mujeres;64460.0
2019;4;Salamanca;Número de Habitantes;TOTAL;146148.0
2019;4;Salamanca;Número de Habitantes;Hombres;64395.0
2019;4;Salamanca;Número de Habitantes;Mujeres;81753.0
2020;4;Salamanca;Número de Habitantes;TOTAL;146667.0
2020;4;Salamanca;Número de Habitantes;Hombres;64836.0
2020;4;Salamanca;Número de Habitantes;Mujeres;81831.0
2021;4;Salamanca;Número de Habitantes;TOTAL;146667.0
2021;4;Salamanca;Número de Habitantes;Hombres;64836.0
2021;4;Salamanca;Número de Habitantes;Mujeres;81831.0
2022;4;Salamanca;Número de Habitantes;TOTAL;145457.0
2022;4;Salamanca;Número de Habitantes;Hombres;64343.0
2022;4;Salamanca;Número de Habitantes;Mujeres;81114.0
2023;4;Salamanca;Número de Habitantes;TOTAL;145702.0
2023;4;Salamanca;Número de Habitantes;Hombres;64452.0
2023;4;Salamanca;Número de Habitantes;Mujeres;81250.0
2019;5;Chamartín;Número de Habitantes;TOTAL;145865.0
2019;5;Chamartín;Número de Habitantes;Hombres;65565.0
2019;5;Chamartín;Número de Habitantes;Mujeres;80300.0
2020;5;Chamartín;Número de Habitantes;TOTAL;146336.0
2020;5;Chamartín;Número de Habitantes;Hombres;65901.0
2020;5;Chamartín;Número de Habitantes;Mujeres;80435.0
2021;5;Chamartín;Número de Habitantes;TOTAL;146336.0
2021;5;Chamartín;Número de Habitantes;Hombres;65901.0
2021;5;Chamartín;Número de Habitantes;Mujeres;80435.0
2022;5;Chamartín;Número de Habitantes;TOTAL;144371.0
2022;5;Chamartín;Número de Habitantes;Hombres;65080.0
2022;5;Chamartín;Número de Habitantes;Mujeres;79291.0
2023;5;Chamartín;Número de Habitantes;TOTAL;144796.0
2023;5;Chamartín;Número de Habitantes;Hombres;65245.0
2023;5;Chamartín;Número de Habitantes;Mujeres;79551.0
2019;6;Tetuán;Número de Habitantes;TOTAL;157937.0
2019;6;Tetuán;Número de Habitantes;Hombres;71632.0
2019;6;Tetuán;Número de Habitantes;Mujeres;86305.0
2020;6;Tetuán;Número de Habitantes;TOTAL;160615.0
2020;6;Tetuán;Número de Habitantes;Hombres;73109.0
2020;6;Tetuán;Número de Habitantes;Mujeres;87506.0
2021;6;Tetuán;Número de Habitantes;TOTAL;160615.0
2021;6;Tetuán;Número de Habitantes;Hombres;73109.0
2021;6;Tetuán;Número de Habitantes;Mujeres;87506.0
2022;6;Tetuán;Número de Habitantes;TOTAL;157433.0
2022;6;Tetuán;Número de Habitantes;Hombres;71636.0
2022;6;Tetuán;Número de Habitantes;Mujeres;85797.0
2023;6;Tetuán;Número de Habitantes;TOTAL;160002.0
2023;6;Tetuán;Número de Habitantes;Hombres;72938.0
2023;6;Tetuán;Número de Habitantes;Mujeres;87064.0
2019;7;Chamberí;Número de Habitantes;TOTAL;139448.0
2019;7;Chamberí;Número de Habitantes;Hombres;61308.0
2019;7;Chamberí;Número de Habitantes;Mujeres;78140.0
2020;7;Chamberí;Número de Habitantes;TOTAL;139391.0
2020;7;Chamberí;Número de Habitantes;Hombres;61649.0
2020;7;Chamberí;Número de Habitantes;Mujeres;77742.0
2021;7;Chamberí;Número de Habitantes;TOTAL;139391.0
2021;7;Chamberí;Número de Habitantes;Hombres;61649.0
2021;7;Chamberí;Número de Habitantes;Mujeres;77742.0
2022;7;Chamberí;Número de Habitantes;TOTAL;137287.0
2022;7;Chamberí;Número de Habitantes;Hombres;60867.0
2022;7;Chamberí;Número de Habitantes;Mujeres;76420.0
2023;7;Chamberí;Número de Habitantes;TOTAL;138204.0
2023;7;Chamberí;Número de Habitantes;Hombres;61149.0
2023;7;Chamberí;Número de Habitantes;Mujeres;77055.0
2019;8;Fuencarral-El Pardo;Número de Habitantes;TOTAL;246021.0
2019;8;Fuencarral-El Pardo;Número de Habitantes;Hombres;115797.0
2019;8;Fuencarral-El Pardo;Número de Habitantes;Mujeres;130224.0
2020;8;Fuencarral-El Pardo;Número de Habitantes;TOTAL;248684.0
2020;8;Fuencarral-El Pardo;Número de Habitantes;Hombres;117006.0
2020;8;Fuencarral-El Pardo;Número de Habitantes;Mujeres;131678.0
2021;8;Fuencarral-El Pardo;Número de Habitantes;TOTAL;248684.0
2021;8;Fuencarral-El Pardo;Número de Habitantes;Hombres;117006.0
2021;8;Fuencarral-El Pardo;Número de Habitantes;Mujeres;131678.0
2022;8;Fuencarral-El Pardo;Número de Habitantes;TOTAL;246281.0
2022;8;Fuencarral-El Pardo;Número de Habitantes;Hombres;115955.0
2022;8;Fuencarral-El Pardo;Número de Habitantes;Mujeres;130326.0
2023;8;Fuencarral-El Pardo;Número de Habitantes;TOTAL;248443.0
2023;8;Fuencarral-El Pardo;Número de Habitantes;Hombres;116944.0
2023;8;Fuencarral-El Pardo;Número de Habitantes;Mujeres;131499.0
2019;9;Moncloa-Aravaca;Número de Habitantes;TOTAL;119423.0
