YEAR;cod_distrito;DISTRITO;SUPERFICIE (ha)
2019;1;CENTRO;11.8
2020;1;CENTRO;11.8
2021;1;CENTRO;21.02
2022;1;CENTRO;31.76
2023;1;CENTRO;31.48
2019;2;ARGANZUELA;44.84
2020;2;ARGANZUELA;44.92
2021;2;ARGANZUELA;63.74
2022;2;ARGANZUELA;90.82
2023;2;ARGANZUELA;90.71
2019;3;RETIRO;13.92
2020;3;RETIRO;13.91
2021;3;RETIRO;24.71
2022;3;RETIRO;36.54
2023;3;RETIRO;37.64
2019;4;SALAMANCA;12.65
2020;4;SALAMANCA;12.65
2021;4;SALAMANCA;26.14
2022;4;SALAMANCA;35.87
2023;4;SALAMANCA;35.79
2019;5;CHAMARTIN;12.19
2020;5;CHAMARTIN;12.16
2021;5;CHAMARTIN;28.76
2022;5;CHAMARTIN;55.98
2023;5;CHAMARTIN;56.41
2019;6;TETUAN;37.65
2020;6;TETUAN;35.38
2021;6;TETUAN;53.71
2022;6;TETUAN;62.51
2023;6;TETUAN;63.7
2019;7;CHAMBERI;4.85
2020;7;CHAMBERI;4.84
2021;7;CHAMBERI;7.19
2022;7;CHAMBERI;11.12
2023;7;CHAMBERI;9.9
2019;8;FUENCARRAL-EL PARDO;39.94
2020;8;FUENCARRAL-EL PARDO;39.88
2021;8;FUENCARRAL-EL PARDO;271.51
2022;8;FUENCARRAL-EL PARDO;360.35
2023;8;FUENCARRAL-EL PARDO;368.19
2019;9;MONCLOA-ARAVACA;13.26
2020;9;MONCLOA-ARAVACA;13.26
2021;9;MONCLOA-ARAVACA;152.23
2022;9;MONCLOA-ARAVACA;188.39
2023;9;MONCLOA-ARAVACA;187.47
2019;10;LATINA;79.04
2020;10;LATINA;79.06
2021;10;LATINA;233.57
2022;10;LATINA;274.79
2023;10;LATINA;276.95
2019;11;CARABANCHEL;26.06
2020;11;CARABANCHEL;25.12
2021;11;CARABANCHEL;195.29
2022;11;CARABANCHEL;229.46
2023;11;CARABANCHEL;229.76
2019;12;USERA;63.99
2020;12;USERA;64.05
2021;12;USERA;140.06
2022;12;USERA;167.45
2023;12;USERA;167.85
2019;13;PUENTE DE VALLECAS;72.31
2020;13;PUENTE DE VALLECAS;72.29
2021;13;PUENTE DE VALLECAS;225.51
2022;13;PUENTE DE VALLECAS;279.58
2023;13;PUENTE DE VALLECAS;279.58
2019;14;MORATALAZ;6.42
2020;14;MORATALAZ;6.42
2021;14;MORATALAZ;94.87
2022;14;MORATALAZ;117.79
2023;14;MORATALAZ;117.81
2019;15;CIUDAD LINEAL;33.1
2020;15;CIUDAD LINEAL;32.78
2021;15;CIUDAD LINEAL;98.96
2022;15;CIUDAD LINEAL;132.91
2023;15;CIUDAD LINEAL;133.67
2019;16;HORTALEZA;42.3
2020;16;HORTALEZA;42.1
2021;16;HORTALEZA;263.95
2022;16;HORTALEZA;325.38
2023;16;HORTALEZA;323.59
2019;17;VILLAVERDE;16.35
2020;17;VILLAVERDE;16.32
2021;17;VILLAVERDE;171.49
2022;17;VILLAVERDE;216.23
2023;17;VILLAVERDE;216.11
2019;18;VILLA DE VALLECAS;6.16
2020;18;VILLA DE VALLECAS;6.16
2021;18;VILLA DE VALLECAS;249.92
2022;18;VILLA DE VALLECAS;308.09
2023;18;VILLA DE VALLECAS;309.29
2019;19;VICALVARO;72.55
2020;19;VICALVARO;72.28
2021;19;VICALVARO;152.17
2022;19;VICALVARO;195.64
2023;19;VICALVARO;195.53
2019;20;SAN BLAS-CANILLEJAS;29.41
2020;20;SAN BLAS-CANILLEJAS;28.7
2021;20;SAN BLAS-CANILLEJAS;114.77
2022;20;SAN BLAS-CANILLEJAS;178.35
2023;20;SAN BLAS-CANILLEJAS;175.02
2019;21;BARAJAS;7.42
2020;21;BARAJAS;6.49
2021;21;BARAJAS;82.55
2022;21;BARAJAS;93.35
2023;21;BARAJAS;101.68
