YEAR;cod_distrito;DISTRITO;CATEGORIA;VALOR
2019;1;CENTRO;PERROS;16010
2020;1;CENTRO;PERROS;16202
2021;1;CENTRO;PERROS;16442
2022;1;CENTRO;PERROS;16943
2023;1;CENTRO;PERROS;19791
2019;2;ARGANZUELA;PERROS;10556
2020;2;ARGANZUELA;PERROS;10732
2021;2;ARGANZUELA;PERROS;10843
2022;2;ARGANZUELA;PERROS;11894
2023;2;ARGANZUELA;PERROS;12685
2019;3;RETIRO;PERROS;7786
2020;3;RETIRO;PERROS;7890
2021;3;RETIRO;PERROS;7942
2022;3;RETIRO;PERROS;7948
2023;3;RETIRO;PERROS;9389
2019;4;SALAMANCA;PERROS;13471
2020;4;SALAMANCA;PERROS;13634
2021;4;SALAMANCA;PERROS;13880
2022;4;SALAMANCA;PERROS;14446
2023;4;SALAMANCA;PERROS;16905
2019;5;CHAMARTIN;PERROS;11098
2020;5;CHAMARTIN;PERROS;11250
2021;5;CHAMARTIN;PERROS;11361
2022;5;CHAMARTIN;PERROS;11289
2023;5;CHAMARTIN;PERROS;13632
2019;6;TETUAN;PERROS;12470
2020;6;TETUAN;PERROS;12556
2021;6;TETUAN;PERROS;12607
2022;6;TETUAN;PERROS;12693
2023;6;TETUAN;PERROS;15002
2019;7;CHAMBERI;PERROS;13359
2020;7;CHAMBERI;PERROS;13466
2021;7;CHAMBERI;PERROS;13632
2022;7;CHAMBERI;PERROS;13873
2023;7;CHAMBERI;PERROS;16040
2019;8;FUENCARRAL-EL PARDO;PERROS;17375
2020;8;FUENCARRAL-EL PARDO;PERROS;17617
2021;8;FUENCARRAL-EL PARDO;PERROS;17712
2022;8;FUENCARRAL-EL PARDO;PERROS;17742
2023;8;FUENCARRAL-EL PARDO;PERROS;21246
2019;9;MONCLOA-ARAVACA;PERROS;12367
2020;9;MONCLOA-ARAVACA;PERROS;12545
2021;9;MONCLOA-ARAVACA;PERROS;12572
2022;9;MONCLOA-ARAVACA;PERROS;12655
2023;9;MONCLOA-ARAVACA;PERROS;14946
2019;10;LATINA;PERROS;19049
2020;10;LATINA;PERROS;19206
2021;10;LATINA;PERROS;19253
2022;10;LATINA;PERROS;19416
2023;10;LATINA;PERROS;23040
2019;11;CARABANCHEL;PERROS;20258
2020;11;CARABANCHEL;PERROS;20541
2021;11;CARABANCHEL;PERROS;20595
2022;11;CARABANCHEL;PERROS;20833
2023;11;CARABANCHEL;PERROS;24302
2019;12;USERA;PERROS;12393
2020;12;USERA;PERROS;12474
2021;12;USERA;PERROS;12519
2022;12;USERA;PERROS;12524
2023;12;USERA;PERROS;14721
2019;13;PUENTE DE VALLECAS;PERROS;23437
2020;13;PUENTE DE VALLECAS;PERROS;23485
2021;13;PUENTE DE VALLECAS;PERROS;23675
2022;13;PUENTE DE VALLECAS;PERROS;23595
2023;13;PUENTE DE VALLECAS;PERROS;27953
2019;14;MORATALAZ;PERROS;6724
2020;14;MORATALAZ;PERROS;6836
2021;14;MORATALAZ;PERROS;6865
2022;14;MORATALAZ;PERROS;6865
2023;14;MORATALAZ;PERROS;8147
2019;15;CIUDAD LINEAL;PERROS;17286
2020;15;CIUDAD LINEAL;PERROS;17522
2021;15;CIUDAD LINEAL;PERROS;17764
2022;15;CIUDAD LINEAL;PERROS;17692
2023;15;CIUDAD LINEAL;PERROS;20830
2019;16;HORTALEZA;PERROS;15836
2020;16;HORTALEZA;PERROS;16031
2021;16;HORTALEZA;PERROS;16057
2022;16;HORTALEZA;PERROS;15795
2023;16;HORTALEZA;PERROS;18929
2019;17;VILLAVERDE;PERROS;12917
2020;17;VILLAVERDE;PERROS;13068
2021;17;VILLAVERDE;PERROS;13470
2022;17;VILLAVERDE;PERROS;12362
2023;17;VILLAVERDE;PERROS;15896
2019;18;VILLA DE VALLECAS;PERROS;9923
2020;18;VILLA DE VALLECAS;PERROS;10003
2021;18;VILLA DE VALLECAS;PERROS;10114
2022;18;VILLA DE VALLECAS;PERROS;10288
2023;18;VILLA DE VALLECAS;PERROS;12061
2019;19;VICALVARO;PERROS;5244
2020;19;VICALVARO;PERROS;5306
2021;19;VICALVARO;PERROS;5335
2022;19;VICALVARO;PERROS;5410
2023;19;VICALVARO;PERROS;6377
2019;20;SAN BLAS-CANILLEJAS;PERROS;14228
2020;20;SAN BLAS-CANILLEJAS;PERROS;14473
2021;20;SAN BLAS-CANILLEJAS;PERROS;14538
2022;20;SAN BLAS-CANILLEJAS;PERROS;14585
2023;20;SAN BLAS-CANILLEJAS;PERROS;16229
2019;21;BARAJAS;PERROS;5086
2020;21;BARAJAS;PERROS;5165
2021;21;BARAJAS;PERROS;5139
2022;21;BARAJAS;PERROS;5087
2023;21;BARAJAS;PERROS;6068
2019;1;CENTRO;GATOS;9248
2020;1;CENTRO;GATOS;9477
2021;1;CENTRO;GATOS;9878
2022;1;CENTRO;GATOS;10645
2023;1;CENTRO;GATOS;12457
2019;2;ARGANZUELA;GATOS;5074
2020;2;ARGANZUELA;GATOS;5232
2021;2;ARGANZUELA;GATOS;5439
2022;2;ARGANZUELA;GATOS;5951
2023;2;ARGANZUELA;GATOS;7028
2019;3;RETIRO;GATOS;3105
2020;3;RETIRO;GATOS;3184
2021;3;RETIRO;GATOS;3311
2022;3;RETIRO;GATOS;3513
2023;3;RETIRO;GATOS;4173
2019;4;SALAMANCA;GATOS;5033
2020;4;SALAMANCA;GATOS;5133
2021;4;SALAMANCA;GATOS;5316
2022;4;SALAMANCA;GATOS;5511
2023;4;SALAMANCA;GATOS;6662
2019;5;CHAMARTIN;GATOS;3922
2020;5;CHAMARTIN;GATOS;3996
2021;5;CHAMARTIN;GATOS;4122
2022;5;CHAMARTIN;GATOS;4323
2023;5;CHAMARTIN;GATOS;5181
2019;6;TETUAN;GATOS;5535
2020;6;TETUAN;GATOS;5638
2021;6;TETUAN;GATOS;5909
2022;6;TETUAN;GATOS;6554
2023;6;TETUAN;GATOS;7815
2019;7;CHAMBERI;GATOS;4692
2020;7;CHAMBERI;GATOS;4782
2021;7;CHAMBERI;GATOS;4987
2022;7;CHAMBERI;GATOS;5347
2023;7;CHAMBERI;GATOS;6351
2019;8;FUENCARRAL-EL PARDO;GATOS;6121
2020;8;FUENCARRAL-EL PARDO;GATOS;6373
2021;8;FUENCARRAL-EL PARDO;GATOS;6630
2022;8;FUENCARRAL-EL PARDO;GATOS;6686
2023;8;FUENCARRAL-EL PARDO;GATOS;8199
