YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2019;1;CENTRO;Renta;Neta anual;32458
2020;1;CENTRO;Renta;Neta anual;33473
2021;1;CENTRO;Renta;Neta anual;33473
2022;1;CENTRO;Renta;Neta anual;36072
2023;1;CENTRO;Renta;Neta anual;36984
2019;2;ARGANZUELA;Renta;Neta anual;41122
2020;2;ARGANZUELA;Renta;Neta anual;42088
2021;2;ARGANZUELA;Renta;Neta anual;42088
2022;2;ARGANZUELA;Renta;Neta anual;43789
2023;2;ARGANZUELA;Renta;Neta anual;45310
2019;3;RETIRO;Renta;Neta anual;52963
2020;3;RETIRO;Renta;Neta anual;53111
2021;3;RETIRO;Renta;Neta anual;53111
2022;3;RETIRO;Renta;Neta anual;55775
2023;3;RETIRO;Renta;Neta anual;56302
2019;4;SALAMANCA;Renta;Neta anual;57147
2020;4;SALAMANCA;Renta;Neta anual;57720
2021;4;SALAMANCA;Renta;Neta anual;57720
2022;4;SALAMANCA;Renta;Neta anual;61466
2023;4;SALAMANCA;Renta;Neta anual;60401
2019;5;CHAMARTIN;Renta;Neta anual;65260
2020;5;CHAMARTIN;Renta;Neta anual;65995
2021;5;CHAMARTIN;Renta;Neta anual;65995
2022;5;CHAMARTIN;Renta;Neta anual;70735
2023;5;CHAMARTIN;Renta;Neta anual;69202
2019;6;TETUAN;Renta;Neta anual;35609
2020;6;TETUAN;Renta;Neta anual;36142
2021;6;TETUAN;Renta;Neta anual;36142
2022;6;TETUAN;Renta;Neta anual;37557
2023;6;TETUAN;Renta;Neta anual;38799
2019;7;CHAMBERI;Renta;Neta anual;50882
2020;7;CHAMBERI;Renta;Neta anual;51644
2021;7;CHAMBERI;Renta;Neta anual;51644
2022;7;CHAMBERI;Renta;Neta anual;54327
2023;7;CHAMBERI;Renta;Neta anual;55757
2019;8;FUENCARRAL-EL PARDO;Renta;Neta anual;50087
2020;8;FUENCARRAL-EL PARDO;Renta;Neta anual;50379
2021;8;FUENCARRAL-EL PARDO;Renta;Neta anual;50379
2022;8;FUENCARRAL-EL PARDO;Renta;Neta anual;52858
2023;8;FUENCARRAL-EL PARDO;Renta;Neta anual;54292
2019;9;MONCLOA-ARAVACA;Renta;Neta anual;57423
2020;9;MONCLOA-ARAVACA;Renta;Neta anual;58965
2021;9;MONCLOA-ARAVACA;Renta;Neta anual;58965
2022;9;MONCLOA-ARAVACA;Renta;Neta anual;64066
2023;9;MONCLOA-ARAVACA;Renta;Neta anual;62202
2023;10;LATINA;Renta;Neta anual;32957
2019;10;LATINA;Renta;Neta anual;30490
