YEAR;cod_distrito;distrito;categoría_1;indicador_nivel1;indicador_nivel2;valor_indicador
2019;1;Centro;Resultados Elecciones Locales;Número de votos;Censo;98873
2019;1;Centro;Resultados Elecciones Locales;Número de votos;Más Madrid;32421
2019;1;Centro;Resultados Elecciones Locales;Número de votos;Partido Popular;11379
2019;1;Centro;Resultados Elecciones Locales;Número de votos;Ciudadanos;8851
2019;1;Centro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;6069
2019;1;Centro;Resultados Elecciones Locales;Número de votos;VOX;3625
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Censo;95771
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Ciudadanos;1790
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Más Madrid;20281
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Partido Popular;20456
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;9045
2023;1;Centro;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;5492
2023;1;Centro;Resultados Elecciones Locales;Número de votos;VOX;4078
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Censo;120913
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Más Madrid;35017
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Partido Popular;18850
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Ciudadanos;16757
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;9464
2019;2;Arganzuela;Resultados Elecciones Locales;Número de votos;VOX;5772
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Censo;120060
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Ciudadanos;3048
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Más Madrid;22867
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Partido Popular;35273
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;13669
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;5831
2023;2;Arganzuela;Resultados Elecciones Locales;Número de votos;VOX;6394
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;Censo;96176
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;Más Madrid;20563
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;Partido Popular;22792
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;Ciudadanos;15400
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;6215
2019;3;Retiro;Resultados Elecciones Locales;Número de votos;VOX;6201
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Censo;93574
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Ciudadanos;2461
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Más Madrid;11867
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Partido Popular;37227
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8894
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;2573
2023;3;Retiro;Resultados Elecciones Locales;Número de votos;VOX;6830
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;Censo;112709
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;Más Madrid;16702
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;Partido Popular;31356
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;Ciudadanos;17580
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;6040
2019;4;Salamanca;Resultados Elecciones Locales;Número de votos;VOX;8625
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Censo;108112
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Ciudadanos;2542
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Más Madrid;8837
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Partido Popular;48410
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;7793
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;1836
2023;4;Salamanca;Resultados Elecciones Locales;Número de votos;VOX;8957
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;Censo;113650
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;Más Madrid;16889
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;Partido Popular;33039
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;Ciudadanos;19358
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;5950
2019;5;Chamartín;Resultados Elecciones Locales;Número de votos;VOX;8252
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Censo;111240
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Ciudadanos;2684
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Más Madrid;9149
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Partido Popular;52846
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;7836
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;1912
2023;5;Chamartín;Resultados Elecciones Locales;Número de votos;VOX;8987
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;Censo;112989
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;Más Madrid;21319
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;Partido Popular;19120
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;Ciudadanos;13769
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;9544
2019;6;Tetuán;Resultados Elecciones Locales;Número de votos;VOX;6283
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Censo;111546
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Ciudadanos;2058
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Más Madrid;13272
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Partido Popular;33867
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;11553
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;3264
2023;6;Tetuán;Resultados Elecciones Locales;Número de votos;VOX;7050
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;Censo;110576
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;Más Madrid;21582
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;Partido Popular;28042
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;Ciudadanos;16577
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;6217
2019;7;Chamberí;Resultados Elecciones Locales;Número de votos;VOX;7183
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Censo;106803
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Ciudadanos;2558
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Más Madrid;11843
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Partido Popular;43718
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;8974
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;2648
2023;7;Chamberí;Resultados Elecciones Locales;Número de votos;VOX;7824
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Censo;182995
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Más Madrid;33954
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Popular;36871
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Ciudadanos;31091
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;15341
2019;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;VOX;11852
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Censo;183019
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Ciudadanos;4698
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Más Madrid;19095
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Popular;71365
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;19892
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;Podemos-Izquierda Unida-Alianza Verde;4446
2023;8;Fuencarral-El Pardo;Resultados Elecciones Locales;Número de votos;VOX;13722
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Censo;90595
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Más Madrid;18006
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Popular;22102
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Ciudadanos;13513
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Partido Socialista Obrero Español;5906
2019;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;VOX;5946
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Censo;91473
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Ciudadanos;2096
2023;9;Moncloa-Aravaca;Resultados Elecciones Locales;Número de votos;Más Madrid;10521
