YEAR;cod_distrito;distrito;indicador_nivel2;porcentaje
2019;1;CENTRO;Más Madrid;32.79
2019;1;CENTRO;PP;11.51
2019;1;CENTRO;Ciudadanos;8.95
2019;1;CENTRO;PSOE;6.14
2019;1;CENTRO;VOX;3.67
2019;1;CENTRO;Podemos;0.0
2023;1;CENTRO;Ciudadanos;1.87
2023;1;CENTRO;Más Madrid;21.18
2023;1;CENTRO;PP;21.36
2023;1;CENTRO;PSOE;9.44
2023;1;CENTRO;Podemos;5.73
2023;1;CENTRO;VOX;4.26
2019;2;ARGANZUELA;Más Madrid;28.96
2019;2;ARGANZUELA;PP;15.59
2019;2;ARGANZUELA;Ciudadanos;13.86
2019;2;ARGANZUELA;PSOE;7.83
2019;2;ARGANZUELA;VOX;4.77
2019;2;ARGANZUELA;Podemos;0.0
2023;2;ARGANZUELA;Ciudadanos;2.54
2023;2;ARGANZUELA;Más Madrid;19.05
2023;2;ARGANZUELA;PP;29.38
2023;2;ARGANZUELA;PSOE;11.39
2023;2;ARGANZUELA;Podemos;4.86
2023;2;ARGANZUELA;VOX;5.33
2019;3;RETIRO;Más Madrid;21.38
2019;3;RETIRO;PP;23.7
2019;3;RETIRO;Ciudadanos;16.01
2019;3;RETIRO;PSOE;6.46
2019;3;RETIRO;VOX;6.45
2019;3;RETIRO;Podemos;0.0
2023;3;RETIRO;Ciudadanos;2.63
2023;3;RETIRO;Más Madrid;12.68
2023;3;RETIRO;PP;39.78
2023;3;RETIRO;PSOE;9.5
2023;3;RETIRO;Podemos;2.75
2023;3;RETIRO;VOX;7.3
2019;4;SALAMANCA;Más Madrid;14.82
2019;4;SALAMANCA;PP;27.82
2019;4;SALAMANCA;Ciudadanos;15.6
2019;4;SALAMANCA;PSOE;5.36
2019;4;SALAMANCA;VOX;7.65
2019;4;SALAMANCA;Podemos;0.0
2023;4;SALAMANCA;Ciudadanos;2.35
2023;4;SALAMANCA;Más Madrid;8.17
2023;4;SALAMANCA;PP;44.78
2023;4;SALAMANCA;PSOE;7.21
2023;4;SALAMANCA;Podemos;1.7
2023;4;SALAMANCA;VOX;8.28
2019;5;CHAMARTIN;Más Madrid;14.86
2019;5;CHAMARTIN;PP;29.07
2019;5;CHAMARTIN;Ciudadanos;17.03
2019;5;CHAMARTIN;PSOE;5.24
2019;5;CHAMARTIN;VOX;7.26
2019;5;CHAMARTIN;Podemos;0.0
2023;5;CHAMARTIN;Ciudadanos;2.41
2023;5;CHAMARTIN;Más Madrid;8.22
2023;5;CHAMARTIN;PP;47.51
2023;5;CHAMARTIN;PSOE;7.04
2023;5;CHAMARTIN;Podemos;1.72
2023;5;CHAMARTIN;VOX;8.08
2019;6;TETUAN;Más Madrid;18.87
2019;6;TETUAN;PP;16.92
2019;6;TETUAN;Ciudadanos;12.19
2019;6;TETUAN;PSOE;8.45
2019;6;TETUAN;Podemos;0.0
2019;6;TETUAN;VOX;5.56
2023;6;TETUAN;Ciudadanos;1.84
2023;6;TETUAN;Más Madrid;11.9
2023;6;TETUAN;PP;30.36
2023;6;TETUAN;PSOE;10.36
2023;6;TETUAN;Podemos;2.93
2023;6;TETUAN;VOX;6.32
2019;7;CHAMBERI;Más Madrid;19.52
2019;7;CHAMBERI;PP;25.36
2019;7;CHAMBERI;Ciudadanos;14.99
