YEAR;cod_distrito;distrito;indicador_nivel1;indicador_nivel2;valor_indicador
2019;1;CENTRO;Número de Habitantes;TOTAL;134881
2019;1;CENTRO;Número de Habitantes;Hombres;67829
2019;1;CENTRO;Número de Habitantes;Mujeres;67052
2020;1;CENTRO;Número de Habitantes;TOTAL;142033
2020;1;CENTRO;Número de Habitantes;Hombres;72294
2020;1;CENTRO;Número de Habitantes;Mujeres;69739
2021;1;CENTRO;Número de Habitantes;TOTAL;142033
2021;1;CENTRO;Número de Habitantes;Hombres;72294
2021;1;CENTRO;Número de Habitantes;Mujeres;69739
2022;1;CENTRO;Número de Habitantes;TOTAL;139682
2022;1;CENTRO;Número de Habitantes;Hombres;70986
2022;1;CENTRO;Número de Habitantes;Mujeres;68696
2023;1;CENTRO;Número de Habitantes;TOTAL;139687
2023;1;CENTRO;Número de Habitantes;Hombres;70770
2023;1;CENTRO;Número de Habitantes;Mujeres;68917
2019;2;ARGANZUELA;Número de Habitantes;TOTAL;153830
2019;2;ARGANZUELA;Número de Habitantes;Hombres;71631
2019;2;ARGANZUELA;Número de Habitantes;Mujeres;82199
2020;2;ARGANZUELA;Número de Habitantes;TOTAL;154992
2020;2;ARGANZUELA;Número de Habitantes;Hombres;72355
2020;2;ARGANZUELA;Número de Habitantes;Mujeres;82637
2021;2;ARGANZUELA;Número de Habitantes;TOTAL;154992
2021;2;ARGANZUELA;Número de Habitantes;Hombres;72355
2021;2;ARGANZUELA;Número de Habitantes;Mujeres;82637
2022;2;ARGANZUELA;Número de Habitantes;TOTAL;152638
2022;2;ARGANZUELA;Número de Habitantes;Hombres;71466
2022;2;ARGANZUELA;Número de Habitantes;Mujeres;81172
2023;2;ARGANZUELA;Número de Habitantes;TOTAL;153304
2023;2;ARGANZUELA;Número de Habitantes;Hombres;71754
2023;2;ARGANZUELA;Número de Habitantes;Mujeres;81550
2019;3;RETIRO;Número de Habitantes;TOTAL;119379
2019;3;RETIRO;Número de Habitantes;Hombres;54098
2019;3;RETIRO;Número de Habitantes;Mujeres;65281
2020;3;RETIRO;Número de Habitantes;TOTAL;119092
2020;3;RETIRO;Número de Habitantes;Hombres;54060
2020;3;RETIRO;Número de Habitantes;Mujeres;65032
2021;3;RETIRO;Número de Habitantes;TOTAL;119092
2021;3;RETIRO;Número de Habitantes;Hombres;54060
2021;3;RETIRO;Número de Habitantes;Mujeres;65032
2022;3;RETIRO;Número de Habitantes;TOTAL;117672
2022;3;RETIRO;Número de Habitantes;Hombres;53445
2022;3;RETIRO;Número de Habitantes;Mujeres;64227
2023;3;RETIRO;Número de Habitantes;TOTAL;117918
2023;3;RETIRO;Número de Habitantes;Hombres;53458
2023;3;RETIRO;Número de Habitantes;Mujeres;64460
2019;4;SALAMANCA;Número de Habitantes;TOTAL;146148
2019;4;SALAMANCA;Número de Habitantes;Hombres;64395
2019;4;SALAMANCA;Número de Habitantes;Mujeres;81753
2020;4;SALAMANCA;Número de Habitantes;TOTAL;146667
2020;4;SALAMANCA;Número de Habitantes;Hombres;64836
2020;4;SALAMANCA;Número de Habitantes;Mujeres;81831
2021;4;SALAMANCA;Número de Habitantes;TOTAL;146667
2021;4;SALAMANCA;Número de Habitantes;Hombres;64836
2021;4;SALAMANCA;Número de Habitantes;Mujeres;81831
2022;4;SALAMANCA;Número de Habitantes;TOTAL;145457
2022;4;SALAMANCA;Número de Habitantes;Hombres;64343
2022;4;SALAMANCA;Número de Habitantes;Mujeres;81114
2023;4;SALAMANCA;Número de Habitantes;TOTAL;145702
2023;4;SALAMANCA;Número de Habitantes;Hombres;64452
2023;4;SALAMANCA;Número de Habitantes;Mujeres;81250
2019;5;CHAMARTIN;Número de Habitantes;TOTAL;145865
2019;5;CHAMARTIN;Número de Habitantes;Hombres;65565
2019;5;CHAMARTIN;Número de Habitantes;Mujeres;80300
2020;5;CHAMARTIN;Número de Habitantes;TOTAL;146336
2020;5;CHAMARTIN;Número de Habitantes;Hombres;65901
2020;5;CHAMARTIN;Número de Habitantes;Mujeres;80435
2021;5;CHAMARTIN;Número de Habitantes;TOTAL;146336
2021;5;CHAMARTIN;Número de Habitantes;Hombres;65901
2021;5;CHAMARTIN;Número de Habitantes;Mujeres;80435
2022;5;CHAMARTIN;Número de Habitantes;TOTAL;144371
2022;5;CHAMARTIN;Número de Habitantes;Hombres;65080
2022;5;CHAMARTIN;Número de Habitantes;Mujeres;79291
2023;5;CHAMARTIN;Número de Habitantes;TOTAL;144796
2023;5;CHAMARTIN;Número de Habitantes;Hombres;65245
2023;5;CHAMARTIN;Número de Habitantes;Mujeres;79551
2019;6;TETUAN;Número de Habitantes;TOTAL;157937
2019;6;TETUAN;Número de Habitantes;Hombres;71632
2019;6;TETUAN;Número de Habitantes;Mujeres;86305
2020;6;TETUAN;Número de Habitantes;TOTAL;160615
2020;6;TETUAN;Número de Habitantes;Hombres;73109
2020;6;TETUAN;Número de Habitantes;Mujeres;87506
2021;6;TETUAN;Número de Habitantes;TOTAL;160615
2021;6;TETUAN;Número de Habitantes;Hombres;73109
2021;6;TETUAN;Número de Habitantes;Mujeres;87506
2022;6;TETUAN;Número de Habitantes;TOTAL;157433
2022;6;TETUAN;Número de Habitantes;Hombres;71636
2022;6;TETUAN;Número de Habitantes;Mujeres;85797
2023;6;TETUAN;Número de Habitantes;TOTAL;160002
2023;6;TETUAN;Número de Habitantes;Hombres;72938
2023;6;TETUAN;Número de Habitantes;Mujeres;87064
2019;7;CHAMBERI;Número de Habitantes;TOTAL;139448
2019;7;CHAMBERI;Número de Habitantes;Hombres;61308
2019;7;CHAMBERI;Número de Habitantes;Mujeres;78140
2020;7;CHAMBERI;Número de Habitantes;TOTAL;139391
2020;7;CHAMBERI;Número de Habitantes;Hombres;61649
2020;7;CHAMBERI;Número de Habitantes;Mujeres;77742
2021;7;CHAMBERI;Número de Habitantes;TOTAL;139391
2021;7;CHAMBERI;Número de Habitantes;Hombres;61649
2021;7;CHAMBERI;Número de Habitantes;Mujeres;77742
2022;7;CHAMBERI;Número de Habitantes;TOTAL;137287
2022;7;CHAMBERI;Número de Habitantes;Hombres;60867
2022;7;CHAMBERI;Número de Habitantes;Mujeres;76420
2023;7;CHAMBERI;Número de Habitantes;TOTAL;138204
2023;7;CHAMBERI;Número de Habitantes;Hombres;61149
