YEAR;cod_distrito;distrito;categoría_2;indicador_nivel2;valor_indicador
2019;1;CENTRO;Hábitos y estilos de vida;Sedentarismo;27
2019;2;ARGANZUELA;Hábitos y estilos de vida;Sedentarismo;26
2019;3;RETIRO;Hábitos y estilos de vida;Sedentarismo;24
2019;4;SALAMANCA;Hábitos y estilos de vida;Sedentarismo;31
2019;5;CHAMARTIN;Hábitos y estilos de vida;Sedentarismo;25
2019;6;TETUAN;Hábitos y estilos de vida;Sedentarismo;31
2019;7;CHAMBERI;Hábitos y estilos de vida;Sedentarismo;28
2019;8;FUENCARRAL-EL PARDO;Hábitos y estilos de vida;Sedentarismo;29
2019;9;MONCLOA-ARAVACA;Hábitos y estilos de vida;Sedentarismo;23
2019;10;LATINA;Hábitos y estilos de vida;Sedentarismo;30
2019;11;CARABANCHEL;Hábitos y estilos de vida;Sedentarismo;32
2019;12;USERA;Hábitos y estilos de vida;Sedentarismo;34
2019;13;PUENTE DE VALLECAS;Hábitos y estilos de vida;Sedentarismo;38
2019;14;MORATALAZ;Hábitos y estilos de vida;Sedentarismo;30
2019;15;CIUDAD LINEAL;Hábitos y estilos de vida;Sedentarismo;30
2019;16;HORTALEZA;Hábitos y estilos de vida;Sedentarismo;27
2019;17;VILLAVERDE;Hábitos y estilos de vida;Sedentarismo;33
2019;18;VILLA DE VALLECAS;Hábitos y estilos de vida;Sedentarismo;36
2019;19;VICALVARO;Hábitos y estilos de vida;Sedentarismo;30
2019;20;SAN BLAS-CANILLEJAS;Hábitos y estilos de vida;Sedentarismo;31
2019;21;BARAJAS;Hábitos y estilos de vida;Sedentarismo;25
